job_category,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
18,30-39,0.0458483,0.045690997500000004,0.0460071075,0.04587035018872198,0.04571555418893336,0.04602564505834943,TRUE
19,30-39,0.0449048,0.0447487975,0.0450631125,0.04491122674862015,0.04475798370054675,0.04506496972014727,TRUE
20,30-39,0.0171571,0.017061892500000002,0.0172504025,0.017163276610456617,0.017067285076290708,0.017259798549713847,TRUE
21,30-39,0.22688550000000002,0.22656695,0.22719205,0.22708591475468717,0.22677557333972684,0.22739655597082933,TRUE
1,40-49,0.01339835,0.013322794999999998,0.013473214999999998,0.013402248853236853,0.013327547755364362,0.013477362932638305,TRUE
2,40-49,0.00161261,0.00158653775,0.0016385102499999998,0.0016124941396989717,0.0015865672861342514,0.0016388439809032769,TRUE
3,40-49,7.058625e-4,7.02354825e-4,7.0942905e-4,3.8652579261538e-4,3.7393131768955845e-4,3.995442956752836e-4,FALSE
4,40-49,0.0945587,0.09437089,0.09474291,0.09459995077568072,0.09440947529143959,0.09479077032795706,TRUE
5,40-49,0.17644549999999998,0.176206,0.176702,0.17649503404387504,0.17624682102455952,0.17674352162585588,TRUE
6,40-49,0.007001655,0.00694771225,0.00705749125,0.006999552385678286,0.006945451775668044,0.007054071411265162,TRUE
7,40-49,0.0431888,0.04305769749999999,0.04332090250000001,0.043195776252933464,0.04306353658262097,0.04332840361863978,TRUE
8,40-49,0.0673115,0.06714519,0.0674775025,0.06732187888431357,0.06715882889697167,0.06748529609092764,TRUE
9,40-49,0.10658,0.106377975,0.106774,0.10661947789523174,0.10641859582162268,0.10682069383575472,TRUE
10,40-49,0.0144749,0.01439609,0.0145502,0.014474777838804936,0.01439717903420503,0.01455278871466519,TRUE
11,40-49,0.0141879,0.0141112,0.014264,0.014190765888872343,0.014113923191555067,0.01426802089849442,TRUE
12,40-49,0.0338723,0.033756595,0.033986705,0.03388911006937801,0.03377143619286203,0.0340071795399705,TRUE
13,40-49,0.02469665,0.0245963,0.0247977075,0.024701969723950546,0.024601059909304317,0.0248032829299129,TRUE
14,40-49,0.0171606,0.017077697500000003,0.0172467,0.01716532433921654,0.017080917072919123,0.017250141393274212,TRUE
15,40-49,0.0235232,0.023421294999999998,0.023623005000000002,0.023533775880878915,0.023435227278066222,0.023632728866468288,TRUE
16,40-49,0.046247449999999996,0.0461098,0.04638410999999999,0.04624810382531288,0.04611148243132935,0.046385110324142075,TRUE
17,40-49,0.00845151,0.00839295675,0.008510292249999999,0.00845396752874033,0.00839453378243241,0.008513818456244764,TRUE
18,40-49,0.05039785,0.0502568975,0.050541415,0.050402455206532255,0.05026013076072452,0.05054516123133626,TRUE
19,40-49,0.0399366,0.0398066975,0.040066714999999996,0.039949025875466004,0.039821645971080635,0.040076796230802396,TRUE
20,40-49,0.0168124,0.0167315975,0.016898804999999996,0.01681801451012744,0.01673445295180728,0.01690198615097401,TRUE
21,40-49,0.19944,0.199165,0.19970605,0.1995397702894558,0.1992795523770037,0.19980024320622053,TRUE
1,50-59,0.01516855,0.015083495,0.0152520025,0.01515406077835935,0.01507037743068608,0.015238201616780614,TRUE
2,50-59,7.832505e-4,7.795329e-4,7.8695015e-4,0.0022148516648723346,0.0021827958783302223,0.002247377151336488,FALSE
3,50-59,7.832505e-4,7.795329e-4,7.8695015e-4,5.250355366157941e-4,5.095348598639875e-4,5.410075077657048e-4,FALSE
4,50-59,0.0911389,0.09093928999999999,0.09133480999999999,0.09104484650908477,0.09084744561150446,0.09124263328841418,TRUE
5,50-59,0.17898,0.17871697499999997,0.17923702500000002,0.17876274853831334,0.17849972354877117,0.1790260766407798,TRUE
6,50-59,0.008035995,0.00797293575,0.008097966,0.008024630860102777,0.007963579919313507,0.00808614601882483,TRUE
7,50-59,0.03756555,0.0374402,0.037696005,0.03750743339786051,0.037377145064547326,0.03763815812973481,TRUE
8,50-59,0.07854935,0.0783665975,0.078734105,0.07846180185318508,0.0782773035185635,0.07864669794266027,TRUE
9,50-59,0.102646,0.102441975,0.102855,0.10252857114434166,0.10232040208603456,0.10273711524858932,TRUE
10,50-59,0.0210308,0.0209335925,0.0211316075,0.02100277243326399,0.02090450562330215,0.021101491215248697,TRUE
11,50-59,0.0158344,0.0157531,0.015921402499999997,0.015809034934329416,0.015723585593871152,0.015894941147515405,TRUE
12,50-59,0.034910449999999996,0.0347837975,0.0350360025,0.03486960573577068,0.03474381911374114,0.034995831245361764,TRUE
13,50-59,0.021151450000000002,0.0210489,0.0212485075,0.02112718436275915,0.021028632487704375,0.02122618809244423,TRUE
14,50-59,0.0159738,0.015885290000000003,0.0160575,0.015957395853214065,0.015871551848392233,0.016043696590773288,TRUE
15,50-59,0.0327482,0.0326292975,0.032869415,0.03271260009142373,0.032590637693841865,0.03283500341187372,TRUE
16,50-59,0.037952349999999996,0.037820395,0.0380836175,0.03790830263564155,0.03777734588484376,0.03803969540674842,TRUE
17,50-59,0.008192115,0.00812864975,0.008253012749999998,0.008184167974035856,0.008122515759870892,0.008246284255597635,TRUE
18,50-59,0.05335635,0.0532003925,0.0535131,0.05327741305718552,0.05312336229225355,0.05343188534044717,TRUE
19,50-59,0.0398243,0.039690885,0.0399613025,0.0397689548882098,0.039634946589441715,0.039903397451613414,TRUE
20,50-59,0.01614545,0.016058395,0.0162310025,0.016123442179647878,0.016037158741120484,0.016210182194234733,TRUE
21,50-59,0.189231,0.188964975,0.189489025,0.18903514557178275,0.18876635770808944,0.1893042268555758,TRUE
1,60-69,0.03765085,0.0375136875,0.037790910000000004,0.037606076426073276,0.03747018823394508,0.03774243810215892,TRUE
2,60-69,8.492465000000001e-4,8.45273e-4,8.533240750000001e-4,0.0030947773566256426,0.0030552868033794666,0.0031347767328456914,FALSE
3,60-69,8.492465000000001e-4,8.45273e-4,8.533240750000001e-4,4.4342481763537953e-4,4.286142434495069e-4,4.5874692973757784e-4,FALSE
4,60-69,0.0889815,0.088774295,0.08918361000000001,0.08882877337926363,0.08862541630303662,0.0890325514882284,TRUE
5,60-69,0.09621845,0.09600839,0.0964343075,0.09602326440900748,0.09581265763126615,0.09623428485244323,TRUE
6,60-69,0.003712565,0.00366871825,0.00375810075,0.0037018708475571585,0.0036586694942670386,0.0037455804021671595,TRUE
7,60-69,0.012635,0.012554297499999999,0.012713214999999998,0.01260088847565955,0.012521323730925793,0.012680952309261941,TRUE
8,60-69,0.0586155,0.058444289999999996,0.058782005000000005,0.05851155070336879,0.05834383437370689,0.05867971911011796,TRUE
9,60-69,0.079762,0.0795704975,0.0799543075,0.07961694599853418,0.07942346600840305,0.0798108564541665,TRUE
10,60-69,0.0110057,0.0109291975,0.011080907499999999,0.010978596055984816,0.01090428567991658,0.01105340718212309,TRUE
11,60-69,0.0226295,0.022523797499999998,0.02273822,0.022584410985366715,0.022478344776446453,0.02269096606018877,TRUE
12,60-69,0.03215175,0.032026585,0.0322746,0.03209771926104394,0.03197183846241297,0.03222407918410169,TRUE
13,60-69,0.0211807,0.021080494999999998,0.0212816,0.021142980446524927,0.02104028766082735,0.02124616357412604,TRUE
14,60-69,0.0167712,0.016677782500000002,0.016861902499999998,0.016736987774030074,0.016645442815438047,0.01682902758619143,TRUE
15,60-69,0.0295433,0.02942679,0.0296656,0.029487150609699128,0.02936634577502758,0.029608437241977873,TRUE
16,60-69,0.04097335,0.040833852500000004,0.0411115125,0.04089997511649731,0.040758491965423,0.041041928378629675,TRUE
17,60-69,0.00456026,0.0045124299999999996,0.00460747325,0.004547670033825303,0.0044997796856773385,0.004596067717208356,TRUE
18,60-69,0.0670468,0.06687059749999999,0.06722442249999999,0.06691516404918964,0.06673659103993923,0.0670941805303621,TRUE
19,60-69,0.01862045,0.018527,0.018721705,0.01857226271807551,0.01847590532642576,0.018669113084002504,TRUE
20,60-69,0.01617585,0.0160846975,0.016267,0.016146554367921048,0.016056616257770672,0.01623698793623508,TRUE
21,60-69,0.340066,0.339713975,0.34040302499999997,0.3394629561681165,0.33912421263864057,0.33980186408494917,TRUE
1,70-79,0.04176175,0.04161959,0.0419083025,0.04184294346639252,0.04169835050966699,0.041988015844405854,TRUE
2,70-79,0.002317315,0.002282489,0.0023523702499999998,0.0023224817376282085,0.0022879228397077404,0.002357561411543085,TRUE
3,70-79,8.64895e-4,8.60827725e-4,8.689472e-4,1.7038615140586963e-4,1.6120307421069334e-4,1.8009225657525607e-4,FALSE
